index,image_name,pred_lr,pred_sr
0,report1_page001.png,restructive,discrimination
1,report1_page002.png,controller,newsgroups
2,report1_page003.png,controller,newsgroups
3,report1_page004.png,communication,newsgroups
4,report1_page005.png,distribution,messageid
5,report1_page006.png,computer,distribution
6,report1_page007.png,messageid,messageid
7,report1_page008.png,presented,messageid
8,report1_page009.png,research,lines
9,report1_page010.png,panters,lines
10,report2_page001.png,conference,the
11,report2_page002.png,waterboard,subject
